App,Total_Review,Avg_Polarity,Avg_Subjectivity,Avg_Sentiment_Score,Negative_Review,Neutral_Review,Positive_Review
10 Best Foods for You,194,0.4707328206587227,0.49545471424337406,0.5056113402061856,10,22,162
104 找工作 - 找工作 找打工 找兼職 履歷健檢 履歷診療室,40,0.3924045634920635,0.5455162698412699,0.47262750000000003,1,8,31
11st,39,0.18594278406778406,0.45534044659044665,0.1362923076923077,7,9,23
1800 Contacts - Lens Store,80,0.3181447736291486,0.5910984848484848,0.5195075,6,10,64
1LINE – One Line with One Touch,38,0.19629029961266803,0.5573153053087264,0.3383684210526316,8,3,27
2018Emoji Keyboard 😂 Emoticons Lite -sticker&gif,32,0.4495659722222222,0.5205729166666667,0.39042187500000003,1,6,25
21-Day Meditation Experience,80,0.25801367845117845,0.5510479902042402,0.52223625,10,2,68
"2Date Dating App, Love and matching",38,0.2802671702652353,0.5583907406662825,0.5435500000000001,7,5,26
2GIS: directory & navigator,40,0.22312904265873015,0.3966579365079365,0.30151249999999996,6,11,23
2RedBeans,39,0.4121991790261021,0.5978684477915248,0.43368205128205123,2,6,31
2ndLine - Second Phone Number,40,0.16896820887445888,0.3770225018037518,0.0877225,7,16,17
30 Day Fitness Challenge - Workout at Home,31,0.33353687339286414,0.5585879078678617,0.5749516129032258,2,2,27
365Scores - Live Scores,7,0.4383116883116883,0.6396103896103896,0.47324285714285713,0,2,5
3D Live Neon Weed Launcher,2,0.5681818181818181,0.4,0.31845,0,0,2
4 in a Row,20,0.28114351851851854,0.5781031746031746,0.5186,3,0,17
4K Wallpapers and Ultra HD Backgrounds,9,0.17932800224466894,0.594328202661536,0.42775555555555556,2,0,7
591房屋交易-租屋、中古屋、新建案、實價登錄、別墅透天、公寓套房、捷運、買房賣房行情、房價房貸查詢,15,0.08079241071428571,0.3217280801209373,-0.05378666666666666,2,8,5
591房屋交易-香港,9,0.22291666666666668,0.31342592592592594,0.2252888888888889,1,3,5
7 Cups: Anxiety & Stress Chat,8,0.3246701388888889,0.5671585648148147,0.3133875,1,0,7
7 Day Food Journal Challenge,9,0.18941137566137567,0.6002028218694886,0.40442222222222224,0,0,9
7 Minute Workout,11,0.41027777777777774,0.6212481962481963,0.6679272727272727,1,0,10
7 Weeks - Habit & Goal Tracker,14,0.14282013621299336,0.49746949974628546,0.6118499999999999,4,0,10
8 Ball Pool,219,0.0012520071606734009,0.4913517369146038,0.32974292237442926,106,9,104
850 Sports News Digest,39,0.5428597480561766,0.6924202606002057,0.679725641025641,1,0,38
8fit Workouts & Meal Planner,171,0.2648642413061273,0.5346484758473062,0.5876730994152046,19,15,137
95Live -SG#1 Live Streaming App,78,0.06900233100233101,0.4559274799274799,0.04847692307692308,20,24,34
A Call From Santa Claus!,34,0.008293862999745357,0.6577408804430863,0.17211176470588235,14,0,20
A Word A Day,4,0.2772727272727273,0.6690340909090909,0.42095,0,1,3
A&E - Watch Full Episodes of TV Shows,38,0.35388257575757576,0.49546326754385966,0.3648921052631579,3,5,30
A+ Gallery - Photos & Videos,41,0.2088149162103866,0.40287027819257787,0.2501780487804878,7,10,24
A+ Mobile,84,0.3295922619047619,0.522708380574452,0.3582952380952381,9,18,57
ABC Kids - Tracing & Phonics,37,0.36777017277017277,0.5095799695799695,0.5659864864864865,1,6,30
ABC News - US & World News,70,-0.04236183905380334,0.4111693465264894,-0.026538571428571432,29,23,18
ABC Preschool Free,36,0.22080488040123458,0.4229706790123457,0.33750277777777776,8,9,19
ABCmouse.com,36,0.18250385802469135,0.5238508597883598,0.34048055555555556,9,2,25
AC - Tips & News for Android™,35,0.09841655071119357,0.4841472548615406,0.15076285714285714,10,7,18
ACE Elite,33,0.25217091550424886,0.44258938592271924,0.34106060606060606,4,7,22
"AD - Nieuws, Sport, Regio & Entertainment",19,0.16182364314883113,0.46580603989438574,0.1904684210526316,3,3,13
AMC Theatres,6,0.13569444444444442,0.5781944444444445,0.3793166666666667,1,0,5
ANA,27,-0.026024764844209285,0.3005272633744856,-0.10693703703703702,11,10,6
"AOL - News, Mail & Video",33,0.09218199309108398,0.3985407465710496,0.17139696969696971,7,9,17
AP Mobile - Breaking News,36,0.1951159148207759,0.47140920486406596,0.42645,4,1,31
APE Weather ( Live Forecast),33,0.4323232323232323,0.5066498316498317,0.41193939393939394,2,6,25
"APUS Launcher - Theme, Wallpaper, Hide Apps",31,0.44747311827956987,0.5185483870967742,0.3674935483870968,4,2,25
ARY NEWS,33,0.23374426078971533,0.43835169880624425,0.24473939393939392,6,9,18
ARY NEWS URDU,34,0.24342580213903742,0.5183455882352942,0.12205294117647059,7,8,19
ASOS,66,0.31691663660413655,0.5864045214045215,0.5049939393939393,6,8,52
ASUS Calling Screen,24,0.06316393097643097,0.4153295604858105,0.06579583333333333,5,10,9
ASUS Cover for ZenFone 2,6,0.07638888888888888,0.44305555555555554,0.2556333333333333,1,2,3
ASUS Quick Memo,2,0.02916666666666665,0.33333333333333337,0.2049,0,1,1
ASUS Sound Recorder,16,0.5167708333333333,0.5952976190476191,0.4596625,2,1,13
ASUS SuperNote,23,0.19279142355229312,0.484638308551352,0.32000434782608694,5,4,14
"AT&T Navigator: Maps, Traffic",29,0.07130096542927515,0.41218410352646806,0.2794379310344828,9,4,16
AT&T Smart Wi-Fi,20,0.1895487012987013,0.4328650238650239,0.23632,1,8,11
AT&T Visual Voicemail,25,0.029975541125541127,0.45259386724386724,-0.01614,9,5,11
"AVG Cleaner – Speed, Battery & Memory Booster",35,0.2736637188208617,0.5824492063492064,0.5176514285714285,5,1,29
Abs Training-Burn belly fat,36,0.21741882334004728,0.4469090862840863,0.30234722222222227,6,5,25
Account Manager,33,-0.08763520281275963,0.4564656849884123,-0.254569696969697,18,4,11
Accounting App - Zoho Books,71,0.44866448692152916,0.5223977196512407,0.4424676056338028,6,9,56
AccuWeather: Daily Forecast & Live Weather Reports,32,0.20072330975773356,0.4937064606400544,0.3471,5,4,23
Acorn TV: World-class TV from Britain and Beyond,23,0.0860583905828471,0.5070377689942908,0.05822608695652175,7,2,14
Acorns - Invest Spare Change,5,0.04666666666666667,0.20388888888888887,0.1391,1,2,2
AdWords Express,50,0.1948439393939394,0.2716686868686869,0.145438,2,28,20
Ada - Your Health Guide,63,0.3032562929106828,0.5554172335600908,0.532495238095238,5,4,54
Add Text To Photo,34,0.22970324746060042,0.4007626922823001,0.4187058823529412,6,10,18
Adobe Acrobat Reader,162,0.15506166298122315,0.48715842842000245,0.3595512345679013,28,15,119
Adobe Photoshop Express:Photo Editor Collage Maker,42,0.18538849807599805,0.486466274135917,0.5960928571428572,8,2,32
Advanced Task Killer,15,0.13885152116402114,0.43680291005291,0.07978666666666666,3,1,11
Agar.io,136,-0.06060223338072603,0.45973048669739847,-0.037040441176470595,66,10,60
Age Calculator,32,0.1313830266955267,0.6030233698593074,0.22901875,9,4,19
Agoda – Hotel Booking Deals,35,0.4795306122448979,0.6043673469387756,0.43720571428571425,2,3,30
Air Traffic,22,0.29464074593335954,0.4859695165945166,0.30353181818181824,3,3,16
AirAsia,21,-0.1036063011063011,0.43236171236171234,-0.12116666666666667,10,3,8
AirBrush: Easy Photo Editor,24,0.3520497384559884,0.4650115740740741,0.5395541666666667,1,6,17
Airbnb,62,0.1080045398230162,0.49490795255052167,0.28761451612903227,19,7,36
Airport + Flight Tracker Radar,22,0.08928481240981238,0.42453282828282823,0.1882818181818182,7,2,13
Airway Ex - Intubate. Anesthetize. Train.,39,0.22094190098096347,0.49310152810152813,0.33534358974358974,8,6,25
Akinator,38,-0.01489888966932038,0.4953002693665287,0.42689736842105264,18,1,19
AlReader -any text book reader,39,0.2455511849261849,0.41257682132682133,0.4158487179487179,6,9,24
Alarm Clock,36,0.17466728294853293,0.371872185813158,0.11448055555555554,4,10,22
Alarm Clock Free,34,0.15576177498971616,0.35684034219748506,0.10058823529411764,5,10,19
Alfred Home Security Camera,30,0.33757424242424244,0.4758727272727273,0.4285466666666667,0,9,21
"AliExpress - Smarter Shopping, Better Living",45,0.038380545534712186,0.6177662898829566,0.2700622222222222,16,0,29
All Email Providers,5,0.21500000000000002,0.6066666666666667,0.13426000000000002,2,0,3
All Events in City,25,0.5028597402597402,0.5618210678210679,0.56784,0,2,23
All Football - Latest News & Videos,32,0.43206329477813854,0.5105386453823954,0.5394375,3,2,27
"All Football GO- Live Score, Games",36,0.5265151515151515,0.5140277777777779,0.4322888888888889,1,5,30
All Language Translator Free,30,0.3927835497835498,0.5550324675324675,0.4404633333333334,0,6,24
All Maths Formulas,33,0.354636544011544,0.421768278018278,0.3777060606060606,1,6,26
All Mental disorders,65,0.1986024636532449,0.4228739316239316,0.3818323076923077,12,10,43
All Social Networks,34,-0.10641024212715389,0.5138202177724237,-0.02546176470588235,17,5,12
All Video Downloader 2018,34,0.3826797385620915,0.5417320261437909,0.31974705882352944,3,8,23
"All-In-One Toolbox: Cleaner, Booster, App Manager",22,0.26733509335782063,0.5456981066071975,0.3687227272727273,4,3,15
All-in-One Mahjong 3 FREE,1,0.5,0.6,0.4404,0,0,1
Allegiant,3,0.2333333333333333,0.2333333333333333,0.28683333333333333,0,1,2
Allrecipes Dinner Spinner,19,0.2729995443153338,0.5816768246373509,0.5393631578947368,3,0,16
Alto's Adventure,175,0.03982694182829145,0.5261316988814583,0.5688297142857143,72,0,103
Amazon Drive,36,0.1298491985987103,0.4733768187830688,0.28495000000000004,14,4,18
"Amazon FreeTime – Kids’ Videos, Books, & TV shows",35,0.3425348246524717,0.5080825644943292,0.5751028571428571,3,4,28
Amazon Kindle,117,0.06519186713433872,0.46011748819829623,0.1613923076923077,33,19,65
Amazon Prime Video,2,0.46111111111111114,0.5555555555555556,0.61675,0,0,2
Amazon Shopping,45,0.1820225865037373,0.4624378936759889,0.22565555555555555,13,10,22
Amazon for Tablets,20,0.10113604797979796,0.37119065656565653,0.09555,7,3,10
American Airlines,43,-0.07563614410998132,0.48372397843328074,5.581395348836595e-05,19,4,20
Amex Mobile,36,0.17566632595799261,0.4177012452568008,0.21379166666666669,8,8,20
Amino: Communities and Chats,35,0.04758960435151364,0.5375361254760332,0.2535685714285714,12,0,23
Amtrak,39,-0.028284245516388376,0.369246213442642,-0.0020897435897435875,16,12,11
Anatomy Learning - 3D Atlas,36,0.22653244999599165,0.48883272206188877,0.5559472222222221,5,3,28
Ancestry,37,0.27263030438253655,0.5161272868415725,0.386427027027027,4,5,28
AndroZip™ FREE File Manager,39,0.11732338494838494,0.39017196692196693,0.21165897435897435,10,8,21
"Android Auto - Maps, Media, Messaging & Voice",31,0.28779230407542616,0.5447434959291718,0.7355096774193548,1,0,30
Android Messages,43,0.071675937548939,0.5132160195532288,0.08143023255813954,16,4,23
Anger of stick 5 : zombie,3,0.11944444444444441,0.5027777777777778,0.5329333333333334,1,0,2
Angry Birds 2,29,0.002282199760648026,0.49623943585150476,0.4339620689655172,13,0,16
Angry Birds Classic,273,-0.007537394764251821,0.5348862663965559,0.0505007326007326,147,2,124
Angry Birds Rio,39,-0.038924252279907035,0.4715201068772497,0.2066923076923077,23,1,15
Animal Planet GO,21,0.2735714285714286,0.45373677248677247,0.4091,3,4,14
Animated Photo Editor,35,0.29185714285714287,0.5463650793650794,0.28359142857142855,4,10,21
Anime Avatar Creator: Make Your Own Avatar,28,0.20215771508819977,0.5931982912212505,0.5023000000000001,9,1,18
Anime Manga Coloring Book,24,0.3609907670454546,0.5071180555555556,0.5375833333333333,3,2,19
Anthem Anywhere,65,-0.08797731435231436,0.3850360223821762,-0.027736923076923086,28,18,19
Anthem BC Anywhere,31,-0.12323348694316437,0.36789554531490015,-0.06410645161290322,12,11,8
"Any.do: To-do list, Calendar, Reminders & Planner",98,0.21603763727971087,0.4500429534831867,0.4221010204081633,13,11,74
Apartment Decorating Ideas,1,0.245,0.2,0.6901,0,0,1
"Apartment List: Housing, Apt, and Property Rentals",47,0.4664228723404255,0.5809655146534579,0.5201510638297873,2,3,42
"Apartment, Home Rental Search: Realtor.com Rentals",25,-0.003732900432900429,0.48327186147186146,0.022744000000000007,10,3,12
Apartments & Rentals - Zillow,44,0.29299168634395906,0.462912321264594,0.4692977272727273,2,14,28
Apartments.com Rental Search,69,0.07240305487588096,0.4129084844302236,0.0694,19,18,32
Apex Launcher,60,0.1061327486171236,0.4681670875420875,0.11697,16,7,37
Apk Installer,27,0.19391694725028058,0.4882034632034632,0.3128777777777778,6,3,18
App vault,21,-0.04353505760732322,0.4761634199134199,0.012200000000000004,10,3,8
AppLock,13,0.016233349983349996,0.4999414474414474,0.30466153846153843,7,0,6
AppLock - Fingerprint,19,0.20993951418951418,0.5643250329105592,0.30145789473684215,3,0,16
Apple Daily 蘋果動新聞,34,0.08276605928566712,0.32993794150656897,-0.0029529411764705896,9,12,13
